model,role,step,emotion,normalized_freq
gemma3,patient,4,joy,0.21636505690821065
gemma3,patient,4,sadness,0.04825856178594388
gemma3,patient,4,fear,0.17161520320677806
gemma3,patient,4,anticipation,0.2980170992866991
gemma3,therapist,5,anger,0.1840359089744634
gemma3,therapist,5,trust,0.02014918102218086
gemma3,therapist,5,surprise,0.2028714430623982
gemma3,therapist,5,disgust,0.09694712509507958
gemma3,therapist,5,joy,0.0898688941815327
gemma3,therapist,5,sadness,0.13391322109429143
gemma3,therapist,5,fear,0.2196538097766925
gemma3,therapist,5,anticipation,0.05256041679336144
gemma3,patient,5,anger,0.06173036105748961
gemma3,patient,5,trust,0.08234165512119285
gemma3,patient,5,surprise,0.16433457076122257
gemma3,patient,5,disgust,0.12010895997025649
gemma3,patient,5,joy,0.14758977458298242
gemma3,patient,5,sadness,0.09472957090891299
gemma3,patient,5,fear,0.24284625236812216
gemma3,patient,5,anticipation,0.08631885522982094
gemma3,therapist,6,anger,0.023936067821508814
gemma3,therapist,6,trust,0.07599099499642308
gemma3,therapist,6,surprise,0.34875390434379727
gemma3,therapist,6,disgust,0.014657593041638651
gemma3,therapist,6,joy,0.22059225212010303
gemma3,therapist,6,sadness,0.0197633740351359
gemma3,therapist,6,fear,0.11571329047525057
gemma3,therapist,6,anticipation,0.1805925231661427
gemma3,patient,6,anger,0.003453402142275968
gemma3,patient,6,trust,0.12413784682401352
gemma3,patient,6,surprise,0.3984725933375916
gemma3,patient,6,disgust,0.06932753232520943
gemma3,patient,6,joy,0.0922701162418575
gemma3,patient,6,sadness,0.047210254693546276
gemma3,patient,6,fear,0.11867552097570079
gemma3,patient,6,anticipation,0.14645273345980492
gemma3,therapist,7,anger,0.0767085588767191
gemma3,therapist,7,trust,0.2421869738939727
gemma3,therapist,7,surprise,0.13404835030791024
gemma3,therapist,7,disgust,0.07648961700955706
gemma3,therapist,7,joy,0.13031381090552993
gemma3,therapist,7,sadness,0.022038643302858506
gemma3,therapist,7,fear,0.024528941136653257
gemma3,therapist,7,anticipation,0.2936851045667992
gemma3,patient,7,anger,0.13138211767353475
gemma3,patient,7,trust,0.19056021901545686
gemma3,patient,7,surprise,0.11864002877409235
gemma3,patient,7,disgust,0.01411585860256522
gemma3,patient,7,joy,0.00571410527155106
